,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
0,3,1.0,1.0,1.0,3,0.3225806451612903,0.3333333333333333,0.3278688524590164,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2700/2021_2_5_17_8_5\Louvain_2,3
1,2,0.25,0.6896551724137931,0.3669724770642202,7,0.2348993288590604,0.2413793103448276,0.2380952380952381,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1128/2021_2_5_17_19_49\Louvain_2,6
2,2,0.7083333333333334,0.9622641509433962,0.816,2,0.7083333333333334,0.9622641509433962,0.816,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3610/2021_2_5_17_19_58\Louvain_2,3
3,4,0.6,0.631578947368421,0.6153846153846154,2,0.26666666666666666,0.5789473684210527,0.36514522821576767,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2254/2021_2_5_17_20_6\Louvain_2,4
4,4,0.375,0.5571428571428572,0.4482758620689655,2,0.22992700729927007,0.9,0.3662790697674419,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4079/2021_2_5_17_20_26\Louvain_2,7
5,3,0.17515274949083504,0.49142857142857144,0.25825825825825827,2,0.1548731642189586,0.6628571428571428,0.2510822510822511,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4175/2021_2_5_17_20_48\Louvain_2,8
6,3,0.6219895287958115,0.868421052631579,0.7248322147651006,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4963/2021_2_5_17_22_46\Louvain_2,4
7,3,0.2842809364548495,0.6692913385826772,0.3990610328638498,2,0.12960893854748604,0.4566929133858268,0.20191470844212359,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2584/2021_2_5_17_23_16\Louvain_2,8
8,3,0.5723270440251572,0.91,0.7027027027027026,4,0.7478991596638656,0.89,0.8127853881278538,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3078/2021_2_5_17_23_23\Louvain_2,5
9,4,0.6907216494845361,1.0,0.8170731707317073,5,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3868/2021_2_5_17_23_30\Louvain_2,5
