,length of time series,number of time series compared,incidence mean,incidence std,expected noise:event ratio,max lag,number of populations,individuals within populations similar,individuals across populations similar,Z score mean (v1_sigma),Z score std (v1_sigma),Z score mean (v2_sigma),Z score std (v2_sigma),raw data directory,log ratio,number_of_comparisons,v1_null_mean,v1_null_std,v2_null_mean,v2_null_std,v1 weighted Z-score,v1 p-value,v2 weighted Z-score,v2 p-value,sqrt number_of_comparisons
0,2700,15,0.286098765,0.068751205,0.659464836,55,3,FALSE,TRUE,2.7269489,1.130006135,0.052508304,5.691864626,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2700/2021_2_5_17_8_5,-0.416326627,30,0.906754792,0.658576313,0.108409579,7.073412109,15.13812983,1,-0.04328659,0.48273654,5.477225575
1,1128,41,0.156655423,0.078185072,0.594640113,29,6,FALSE,FALSE,1.663470491,1.045329946,0.087620172,5.407639377,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1128/2021_2_5_17_19_49,-0.519798908,145,0.467933794,0.875391261,0.085940266,5.257753801,16.44541001,1,0.003847411,0.501534891,12.04159458
2,3610,25,0.192210526,0.05286685,1.591866366,54,3,TRUE,FALSE,3.236026724,2.078234034,0.456032632,0.642841245,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3610/2021_2_5_17_19_58,0.464907143,106,-0.187507517,1.535436916,-0.037671003,0.672602245,22.95596905,1,7.557200505,1,10.29563014
3,2254,26,0.222646918,0.067919875,1.457467724,54,4,FALSE,FALSE,1.262245008,1.678880958,-0.073049333,6.351265493,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2254/2021_2_5_17_20_6,0.376700494,76,0.16836526,0.981253271,0.020211132,6.864954882,9.718410969,1,-0.118431351,0.452862943,8.717797887
4,4079,30,0.234559124,0.039521167,1.532225302,17,7,TRUE,FALSE,0.835617064,1.043493616,0.100741423,0.692273475,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4079/2021_2_5_17_20_26,0.426721124,70,-0.233159418,0.885031587,-0.029399829,0.657289399,10.10362312,1,1.656560776,0.951195846,8.366600265
5,4175,55,0.044006532,0.022530552,10.07261548,58,8,TRUE,FALSE,0.415236897,1.067725595,0.174372738,0.927361265,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4175/2021_2_5_17_20_48,2.309820402,175,0.048281279,0.970472745,0.015498475,0.90258678,5.002063744,0.999999716,2.328539473,0.990058262,13.22875656
6,4963,76,0.203903624,0.005109295,0.741624066,36,4,TRUE,TRUE,2.298552325,1.106424425,0.285042262,0.699768609,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4963/2021_2_5_17_22_46,-0.298912814,684,0.345426981,0.956170161,0.042909993,0.716245223,53.42234894,1,8.841358173,1,26.15339366
7,2584,60,0.220639835,0.067304183,2.341639212,51,8,FALSE,FALSE,0.951786221,1.130336814,-0.035177394,6.001672396,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2584/2021_2_5_17_23_16,0.850851202,254,0.128116731,0.952789496,0.016689421,7.31636439,13.77757795,1,-0.112982481,0.455022222,15.93737745
8,3078,32,0.144807911,0.050139323,1.98573054,20,5,TRUE,FALSE,2.86678188,1.246960947,0.53958357,0.552255672,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3078/2021_2_5_17_23_23,0.685986877,100,0.164364574,0.74704346,0.026796318,0.566825318,36.17483386,1,9.046653981,1,10
9,3868,28,0.1634935,0.01486907,0.239140993,11,5,TRUE,FALSE,2.616823098,1.238428744,0.382200116,0.337947446,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3868/2021_2_5_17_23_30,-1.430701974,67,-0.064303256,0.890398421,-0.010000316,0.383221017,24.64735395,1,8.377147266,1,8.185352772
